id,title,content
1,Semantic search idea,"Build a note search prototype where a query about meaning can find notes even when the exact words are different. Use embeddings, cosine similarity, and a compact Streamlit interface."
2,TF-IDF baseline,"Create a simple keyword search baseline with TF-IDF. It should be easy to compare against semantic search and explain in the methodology chapter."
3,Embedding model choice,"The all-MiniLM-L6-v2 model is small enough for a research demo and produces sentence embeddings suitable for personal notes."
4,PKM research hypothesis,"Hypothesis: semantic search based on embeddings returns more relevant personal notes than keyword matching when users search with vague or indirect wording."
5,Automatic tagging plan,"Represent each predefined tag as an embedding and compare note embeddings with tag embeddings. Select top tags by cosine similarity."
6,Category descriptions,"Use short category descriptions instead of category names only. Descriptions give the embedding model more semantic context."
7,Research metrics,"Evaluate retrieval quality with Precision at K, Recall at K, nDCG at K, and Mean Reciprocal Rank."
8,Experiment queries,"Prepare a small set of realistic information needs, such as finding database indexing notes, AI summarization ideas, and productivity workflows."
9,Manual relevance labels,"For each query, mark relevant note ids manually. The labels will make the comparison between TF-IDF and semantic search reproducible."
10,Streamlit UI sketch,"The interface needs a note list, selected note preview, search box, search mode switch, results, automatic tags, category, and similar notes."
11,Python environment note,"Use Python 3.11 or newer with pandas, numpy, scikit-learn, sentence-transformers, Streamlit, matplotlib, and plotly."
12,Vector similarity,"Cosine similarity works well when embeddings are normalized. Ranking can be implemented with numpy argsort for a small dataset."
13,Database index analogy,"Vector search can be explained as an index over meanings, while TF-IDF is an index over words and phrases."
14,SQLite storage idea,"A later prototype might store notes in SQLite with embeddings serialized as arrays, but CSV is enough for the first experiment."
15,Obsidian import idea,"Future work could parse markdown files from an Obsidian vault and convert them into the same notes dataframe."
16,Note summarization idea,"Add automatic note summaries after the search prototype is stable. Summaries could support faster result inspection."
17,Personal dashboard note,"A PKM dashboard should help the user review recent ideas, unfinished tasks, and related concepts without becoming a full project management tool."
18,Learning journal,"Keep short learning notes after each research session: what was tested, what failed, what should be tried next."
19,Backend scope decision,"Avoid a full backend for the research prototype. Streamlit can run the demo and keep the architecture readable."
20,Frontend minimalism,"The UI should be calm and functional. The value is in the search behavior and experiment results, not in complex visual design."
21,Machine learning tags,"Useful tags include machine learning, embeddings, ai, research, productivity, python, databases, backend, frontend, and architecture."
22,Knowledge graph idea,"A later extension could visualize note relationships as a graph, using semantic similarity as edge weight."
23,Related notes feature,"Similar notes can be found by comparing the selected note embedding to all other note embeddings."
24,Keyword weakness example,"A note about vector representations may be relevant to a query about semantic memory even if it never says the word memory."
25,Semantic strength example,"Embedding search should retrieve notes about categorization when the query says automatic organization of personal knowledge."
26,Research chapter outline,"Chapter structure: problem statement, related work, system design, prototype implementation, experiments, results, and limitations."
27,Limitations note,"The dataset is synthetic and small, so conclusions should be framed as prototype-level evidence rather than universal proof."
28,Precision at K,"Precision at K measures how many of the top K retrieved notes are relevant. It is simple and easy to explain."
29,Recall at K,"Recall at K measures how many known relevant notes are found in the top K results."
30,nDCG explanation,"nDCG rewards systems that place highly relevant documents closer to the top of the result list."
31,MRR explanation,"Mean Reciprocal Rank focuses on the position of the first relevant result and is useful for search tasks."
32,Research reproducibility,"Keep query sets, relevance labels, code, and generated result tables in the experiments directory."
33,Embeddings cache idea,"For a larger dataset, cache note embeddings to disk to avoid recomputing them every Streamlit run."
34,FAISS optional,"FAISS is useful for fast vector search on large collections, but numpy similarity is enough for 50 to 150 notes."
35,Data cleaning,"Normalize empty fields, combine title and content, and keep note ids stable so relevance labels remain valid."
36,Productivity workflow,"Use weekly reviews to connect raw notes with projects. Search should help rediscover old insights."
37,Task capture,"A personal knowledge tool should capture tasks without forcing every thought into a rigid database schema."
38,Project planning,"Break the prototype into dataset, embedding pipeline, keyword baseline, UI, auto-tagging, categorization, and evaluation."
39,API design note,"Keep search modules independent from Streamlit so experiments can reuse the same code without UI dependencies."
40,Testing idea,"Add smoke tests for dataset loading, search result shape, and tagging output before expanding the experiment scripts."
41,Research paper notes,"Look for papers about semantic information retrieval, dense passage retrieval, and personal information management."
42,Embedding visualization,"Use PCA or UMAP later to project note embeddings into two dimensions and show clusters by category."
43,Plotly chart idea,"A comparison page can plot Precision at K for TF-IDF and semantic search side by side."
44,Backend architecture,"If the prototype grows, separate data loading, indexing, ranking, tagging, and evaluation modules."
45,Database schema thought,"A simple notes table needs id, title, content, created date, source, tags, category, and embedding reference."
46,Python notebook experiment,"Use notebooks for exploratory checks, but move reusable search and metric code into application modules."
47,AI categorization,"Automatic categorization can use nearest category description embeddings. It is transparent enough for a thesis prototype."
48,Frontend note browser,"A note browser should make selection simple: sidebar list, main preview, and compact metadata display."
49,Search comparison screenshot,"For the thesis, capture a query where semantic search finds conceptually related notes that keyword search misses."
50,Personal reflection,"The system should feel like a thinking aid: it helps reconnect scattered notes, not replace the user's judgment."
51,Research risks,"Main risks are small dataset bias, weak relevance labels, and overclaiming experimental results."
52,Implementation milestone,"First milestone is a working local demo. Second milestone is labeled queries and metric tables."
53,Semantic query example,"Query: how can I automatically organize my notes. Expected results should include tagging, categories, and PKM workflow notes."
54,Keyword query example,"Query: TF-IDF baseline should retrieve notes that explicitly mention TF-IDF and keyword search."
55,Database query example,"Query: storage for embeddings should surface SQLite storage, database schema, and vector index notes."
56,Architecture query example,"Query: keep modules reusable should find API design, backend architecture, and project planning notes."
57,Productivity query example,"Query: weekly review and task capture should find productivity workflow and personal dashboard notes."
58,AI query example,"Query: sentence model for semantic retrieval should find embedding model choice and vector similarity notes."
59,Research evaluation query,"Query: compare retrieval methods should find research metrics, experiment queries, and manual relevance labels."
60,Future extension,"Future extensions include markdown import, embedding cache, relevance feedback, graph visualization, and summary generation."
