method,query,k,precision,recall,ndcg,mrr
keyword,как найти похожие идеи если я не помню точные слова,3,0.3333333333333333,0.03333333333333333,0.23463936301137822,0.3333333333333333
keyword,как найти похожие идеи если я не помню точные слова,5,0.6,0.1,0.4468535299918563,0.3333333333333333
keyword,как найти похожие идеи если я не помню точные слова,10,0.6,0.2,0.4932162989129127,0.3333333333333333
semantic,как найти похожие идеи если я не помню точные слова,3,1.0,0.1,1.0,1.0
semantic,как найти похожие идеи если я не помню точные слова,5,1.0,0.16666666666666666,1.0,1.0
semantic,как найти похожие идеи если я не помню точные слова,10,1.0,0.3333333333333333,1.0,1.0
keyword,какой простой метод поиска был baseline для сравнения,3,1.0,0.1,1.0,1.0
keyword,какой простой метод поиска был baseline для сравнения,5,1.0,0.16666666666666666,1.0,1.0
keyword,какой простой метод поиска был baseline для сравнения,10,1.0,0.3333333333333333,1.0,1.0
semantic,какой простой метод поиска был baseline для сравнения,3,1.0,0.1,1.0,1.0
semantic,какой простой метод поиска был baseline для сравнения,5,0.8,0.13333333333333333,0.8539316501572937,1.0
semantic,какой простой метод поиска был baseline для сравнения,10,0.7,0.23333333333333334,0.7721596254947203,1.0
keyword,как автоматически разложить заметки по меткам,3,0.0,0.0,0.0,0.25
keyword,как автоматически разложить заметки по меткам,5,0.4,0.06666666666666667,0.27727342735504823,0.25
keyword,как автоматически разложить заметки по меткам,10,0.3,0.1,0.2435522702101235,0.25
semantic,как автоматически разложить заметки по меткам,3,1.0,0.1,1.0,1.0
semantic,как автоматически разложить заметки по меткам,5,1.0,0.16666666666666666,1.0,1.0
semantic,как автоматически разложить заметки по меткам,10,1.0,0.3333333333333333,1.0,1.0
keyword,где хранить данные заметок и их векторы,3,0.6666666666666666,0.06666666666666667,0.7653606369886217,1.0
keyword,где хранить данные заметок и их векторы,5,0.8,0.13333333333333333,0.830419897363192,1.0
keyword,где хранить данные заметок и их векторы,10,0.5,0.16666666666666666,0.6172839611614819,1.0
semantic,где хранить данные заметок и их векторы,3,1.0,0.1,1.0,1.0
semantic,где хранить данные заметок и их векторы,5,1.0,0.16666666666666666,1.0,1.0
semantic,где хранить данные заметок и их векторы,10,1.0,0.3333333333333333,1.0,1.0
keyword,как доказать что один поиск лучше другого,3,0.0,0.0,0.0,0.0
keyword,как доказать что один поиск лучше другого,5,0.0,0.0,0.0,0.0
keyword,как доказать что один поиск лучше другого,10,0.0,0.0,0.0,0.0
semantic,как доказать что один поиск лучше другого,3,0.6666666666666666,0.06666666666666667,0.5307212739772434,0.5
semantic,как доказать что один поиск лучше другого,5,0.8,0.13333333333333333,0.6608397947263839,0.5
semantic,как доказать что один поиск лучше другого,10,0.6,0.2,0.5587148206871071,0.5
keyword,как каждую неделю возвращаться к задачам и старым мыслям,3,0.0,0.0,0.0,0.0
keyword,как каждую неделю возвращаться к задачам и старым мыслям,5,0.0,0.0,0.0,0.0
keyword,как каждую неделю возвращаться к задачам и старым мыслям,10,0.0,0.0,0.0,0.0
semantic,как каждую неделю возвращаться к задачам и старым мыслям,3,1.0,0.1,1.0,1.0
semantic,как каждую неделю возвращаться к задачам и старым мыслям,5,1.0,0.16666666666666666,1.0,1.0
semantic,как каждую неделю возвращаться к задачам и старым мыслям,10,1.0,0.3333333333333333,1.0,1.0
keyword,как сделать код прототипа понятным и без лишней сложности,3,1.0,0.1,1.0,1.0
keyword,как сделать код прототипа понятным и без лишней сложности,5,1.0,0.16666666666666666,1.0,1.0
keyword,как сделать код прототипа понятным и без лишней сложности,10,1.0,0.3333333333333333,1.0,1.0
semantic,как сделать код прототипа понятным и без лишней сложности,3,1.0,0.1,1.0,1.0
semantic,как сделать код прототипа понятным и без лишней сложности,5,1.0,0.16666666666666666,1.0,1.0
semantic,как сделать код прототипа понятным и без лишней сложности,10,0.8,0.26666666666666666,0.8643145546088337,1.0
keyword,как быстро понять содержание заметки в результатах поиска,3,1.0,0.1,1.0,1.0
keyword,как быстро понять содержание заметки в результатах поиска,5,1.0,0.16666666666666666,1.0,1.0
keyword,как быстро понять содержание заметки в результатах поиска,10,0.9,0.3,0.9363792118010483,1.0
semantic,как быстро понять содержание заметки в результатах поиска,3,0.6666666666666666,0.06666666666666667,0.5307212739772434,0.5
semantic,как быстро понять содержание заметки в результатах поиска,5,0.4,0.06666666666666667,0.38356636737133565,0.5
semantic,как быстро понять содержание заметки в результатах поиска,10,0.3,0.1,0.31516255047698366,0.5
keyword,смысловая память для разрозненных личных знаний,3,0.0,0.0,0.0,0.0
keyword,смысловая память для разрозненных личных знаний,5,0.0,0.0,0.0,0.0
keyword,смысловая память для разрозненных личных знаний,10,0.0,0.0,0.0,0.0
semantic,смысловая память для разрозненных личных знаний,3,0.0,0.0,0.0,0.1111111111111111
semantic,смысловая память для разрозненных личных знаний,5,0.0,0.0,0.0,0.1111111111111111
semantic,смысловая память для разрозненных личных знаний,10,0.2,0.06666666666666667,0.12987501165334076,0.1111111111111111
keyword,как сделать эксперимент воспроизводимым с ручной оценкой,3,0.6666666666666666,0.06666666666666667,0.7039180890341347,1.0
keyword,как сделать эксперимент воспроизводимым с ручной оценкой,5,0.6,0.1,0.6548086577531307,1.0
keyword,как сделать эксперимент воспроизводимым с ручной оценкой,10,0.5,0.16666666666666666,0.5548010254700116,1.0
semantic,как сделать эксперимент воспроизводимым с ручной оценкой,3,0.3333333333333333,0.03333333333333333,0.2960819109658652,0.5
semantic,как сделать эксперимент воспроизводимым с ручной оценкой,5,0.2,0.03333333333333333,0.21398626473452756,0.5
semantic,как сделать эксперимент воспроизводимым с ручной оценкой,10,0.3,0.1,0.2835149363066189,0.5
keyword,связать забытые исследовательские идеи в коллекции заметок,3,1.0,0.1,1.0,1.0
keyword,связать забытые исследовательские идеи в коллекции заметок,5,1.0,0.16666666666666666,1.0,1.0
keyword,связать забытые исследовательские идеи в коллекции заметок,10,0.6,0.2,0.727329844310522,1.0
semantic,связать забытые исследовательские идеи в коллекции заметок,3,0.0,0.0,0.0,0.0
semantic,связать забытые исследовательские идеи в коллекции заметок,5,0.0,0.0,0.0,0.0
semantic,связать забытые исследовательские идеи в коллекции заметок,10,0.0,0.0,0.0,0.0
keyword,не хочу строить большой backend для маленького demo,3,1.0,0.1,1.0,1.0
keyword,не хочу строить большой backend для маленького demo,5,1.0,0.16666666666666666,1.0,1.0
keyword,не хочу строить большой backend для маленького demo,10,1.0,0.3333333333333333,1.0,1.0
semantic,не хочу строить большой backend для маленького demo,3,0.6666666666666666,0.06666666666666667,0.5307212739772434,0.5
semantic,не хочу строить большой backend для маленького demo,5,0.6,0.1,0.5296347172140421,0.5
semantic,не хочу строить большой backend для маленького demo,10,0.5,0.16666666666666666,0.48571574856977245,0.5
keyword,короткое описание перед открытием полной заметки,3,1.0,0.1,1.0,1.0
keyword,короткое описание перед открытием полной заметки,5,1.0,0.16666666666666666,1.0,1.0
keyword,короткое описание перед открытием полной заметки,10,1.0,0.3333333333333333,1.0,1.0
semantic,короткое описание перед открытием полной заметки,3,1.0,0.1,1.0,1.0
semantic,короткое описание перед открытием полной заметки,5,1.0,0.16666666666666666,1.0,1.0
semantic,короткое описание перед открытием полной заметки,10,0.8,0.26666666666666666,0.8482378089219645,1.0
keyword,сохранить поля заметок чтобы потом повторить эксперименты,3,0.0,0.0,0.0,0.25
keyword,сохранить поля заметок чтобы потом повторить эксперименты,5,0.2,0.03333333333333333,0.14606834984270645,0.25
keyword,сохранить поля заметок чтобы потом повторить эксперименты,10,0.5,0.16666666666666666,0.36745852005902885,0.25
semantic,сохранить поля заметок чтобы потом повторить эксперименты,3,0.0,0.0,0.0,0.0
semantic,сохранить поля заметок чтобы потом повторить эксперименты,5,0.0,0.0,0.0,0.0
semantic,сохранить поля заметок чтобы потом повторить эксперименты,10,0.0,0.0,0.0,0.0
keyword,метки появляются без ручного ввода,3,1.0,0.1,1.0,1.0
keyword,метки появляются без ручного ввода,5,1.0,0.16666666666666666,1.0,1.0
keyword,метки появляются без ручного ввода,10,0.6,0.2,0.727329844310522,1.0
semantic,метки появляются без ручного ввода,3,1.0,0.1,1.0,1.0
semantic,метки появляются без ручного ввода,5,0.8,0.13333333333333333,0.8687949224876582,1.0
semantic,метки появляются без ручного ввода,10,0.7,0.23333333333333334,0.7778721720600673,1.0
